sheet,group,learning_path,course,section,lesson_name,video_url,source
ERP,,,,3. Find Existing,How to Research Suppliers in Oracle Cloud,https://vimeo.com/970207949,vimeo
ERP,,,,4. Change Existing,How to Change a Supplier in Oracle Cloud,https://vimeo.com/970208652,vimeo
ERP,,,,2. Create New,How to Create a Local Catalog Requisiton in Oracle Cloud,https://vimeo.com/980772926,vimeo
ERP,,,,2. Create New,How to Create a Remote Catalog Requisiton in Oracle Cloud,https://vimeo.com/980773698,vimeo
ERP,,,,2. Create New,How to Create a Shop by Category Requisiton in Oracle Cloud,https://vimeo.com/980775200,vimeo
ERP,,,,2. Create New,How to Create a SmartForm Catalog Requisiton in Oracle Cloud,https://vimeo.com/980799696,vimeo
ERP,,,,2. Create New,How to Create a Non-Catalog Requisiton in Oracle Cloud,https://vimeo.com/980801056,vimeo
ERP,,,,3. Find Existing,How to Find a Purchase Requisitons in Oracle Cloud,https://vimeo.com/980802334,vimeo
ERP,,,,4. Change Existing,How to Change a Purchase Requisitons in Oracle Cloud,https://vimeo.com/980802780,vimeo
ERP,,,,4. Change Existing,How to Change a PO using the Requisition in Oracle Cloud,https://vimeo.com/980803571,vimeo
ERP,,,,2. Create New,How to Create a Purchase Order using the Online Pages in Oracle Cloud,https://vimeo.com/980804338,vimeo
ERP,,,,2. Create New,How to Create a PO from an Approved Requisition in Oracle Cloud,https://vimeo.com/980805968,vimeo
ERP,,,,3. Find Existing,How to Find Purchase Orders in Oracle Cloud,https://vimeo.com/980807397,vimeo
ERP,,,,4. Change Existing,How to Change Purchase Orders in Oracle Cloud,https://vimeo.com/980809328,vimeo
ERP,,,,2. Create New,How to Create a Receipt in Oracle Cloud,https://vimeo.com/980864076,vimeo
ERP,,,,3. Find Existing,How to Find My Receipts in Oracle Cloud,https://vimeo.com/980864483,vimeo
ERP,,,,4. Change Existing,How to Change My Receipts in Oracle Cloud,https://vimeo.com/980864727,vimeo
ERP,,,,Learning Path Overview,The Oracle Cloud Contract Management LP,https://vimeo.com/969180552,vimeo
ERP,Procurement,Contract Management,1. Introducing Oracle Cloud Contract Management,1. Course Overview,The Oracle Cloud Contract Management Course,https://vimeo.com/1050543333,vimeo
ERP,,,,2. Functional Area Overview,Introducing Oracle Cloud Contract Management,https://vimeo.com/951327895,vimeo
ERP,,,,3. Applications/Transactions,Introducing Oracle Cloud's Contracts Transaction,https://vimeo.com/951330604,vimeo
ERP,,,,3. Applications/Transactions,Introducing Oracle Cloud's Terms Library Transaction,https://vimeo.com/951331099,vimeo
ERP,,,,4. Popular Integrations,Introducing DocuSign,https://vimeo.com/951333876,vimeo
ERP,Procurement,Contract Management,2. How to Use the Contracts Application,1. Course Overview,The How to Use Oracle Cloud's Contracts Application Course,https://vimeo.com/1050553232/4a44dbf221,vimeo
ERP,,,,2. Create New,Step 1 - How a Contract Admin Creates the Contract Record in Oracle Cloud,https://vimeo.com/951348524/f313564921,vimeo
ERP,,,,2. Create New,Step 2 - How a Contract Admin Authors the Contract Document in Oracle Cloud,https://vimeo.com/951349756/c1cd5ee844,vimeo
ERP,,,,2. Create New,Step 3 - How a Supplier Redlines & Returns the Contract Document in Oracle Cloud,https://vimeo.com/951531902/3de1bfc41a,vimeo
ERP,,,,2. Create New,Step 4 - How a Contract Admin Uploads the Document & Completes the Contract Record,https://vimeo.com/951532358/8291c321da,vimeo
ERP,,,,2. Create New,Step 5 - How a Contract Approver Approves the Contract Record in Oracle Cloud,https://vimeo.com/951540128/ae56464439,vimeo
ERP,,,,2. Create New,Step 6 - How Parties Digitally Sign a Contract Document in Oracle Cloud,https://vimeo.com/951533791/2dd1980a83,vimeo
ERP,,,,2. Create New,Step 7 - How a Contract Admin Creates Fulfillment Transactions in Oracle Cloud,https://vimeo.com/951535569/a6904833b7,vimeo
ERP,,,,2. Create New,Step 8 - How a Supplier Completes Contract Deliverables in Oracle Cloud,https://vimeo.com/951537696/2a58fb08b3,vimeo
ERP,,,,2. Create New,How to Create Supplier Paper in Oracle Cloud,https://vimeo.com/954192455/93610bc479,vimeo
ERP,,,,3. Find Existing,How to Find a Contract in Oracle Cloud,https://vimeo.com/952140220/d3ae2995b9,vimeo
ERP,,,,3. Find Existing,"How to Find ""My Contracts"" in Oracle Cloud",https://vimeo.com/952140378/616d290b64,vimeo
ERP,,,,4. Change Existing,How to Extend Active Contracts in Oracle Cloud,https://vimeo.com/952140479/cc171befe9,vimeo
ERP,,,,4. Change Existing,How to Link Master Service Contracts to Purchase Agreements,https://vimeo.com/952140668/0b0f819a61,vimeo
ERP,,,,4. Change Existing,How to Link Master Service Contracts to Purchase Orders,https://vimeo.com/952141102/ba8cb547f3,vimeo
ERP,Procurement,Contract Management,3. How to Use the Terms Library Application,1. Course Overview,The How to Use Oracle Cloud's Terms Library Application Course,https://vimeo.com/1050580488,vimeo
ERP,,,,2. Create New,Step 1 - How a Contract Admin Creates a Section in Oracle Cloud,https://vimeo.com/952138189/54e09a720a,vimeo
ERP,,,,2. Create New,Step 2 - How a Contract Admin Creates a Clause in Oracle Cloud,https://vimeo.com/952138327/810d59f8bc,vimeo
ERP,,,,2. Create New,Step 3 - How a Contract Admin Creates a Constant in Oracle Cloud,https://vimeo.com/952138621/c9a08c9db1,vimeo
ERP,,,,2. Create New,Step 4 - How a Contract Admin Creates a Question in Oracle Cloud,https://vimeo.com/952138764/8d428e7bdd,vimeo
ERP,,,,2. Create New,Step 5 - How a Contract Admin Creates a Rule in Oracle Cloud,https://vimeo.com/952138891/6963bedb3f,vimeo
ERP,,,,2. Create New,Step 6 - How a Contract Admin Creates a Deliverable in Oracle Cloud,https://vimeo.com/952139226/d4d4ecf13d,vimeo
ERP,,,,2. Create New,Step 7 - How a Contract Admin Creates a Terms Template in Oracle Cloud,https://vimeo.com/952139531/b8a5a010d7,vimeo
ERP,,,,3. Find Existing,How a Contract Admin Finds a Section in Oracle Cloud,https://vimeo.com/954178119/978b3fbd53,vimeo
ERP,,,,3. Find Existing,How a Contract Admin Finds a Clause in Oracle Cloud,https://vimeo.com/954178222/ca0b7ad703,vimeo
ERP,,,,3. Find Existing,How a Contract Admin Finds a Constant in Oracle Cloud,https://vimeo.com/954178329/6497d1df34,vimeo
ERP,,,,3. Find Existing,How a Contract Admin Finds a Question in Oracle Cloud,https://vimeo.com/954178455/b7d5edb8d3,vimeo
ERP,,,,3. Find Existing,How a Contract Admin Finds a Rule in Oracle Cloud,https://vimeo.com/954178595/7d1911bb51,vimeo
ERP,,,,3. Find Existing,How a Contract Admin Finds a Terms Template in Oracle Cloud,https://vimeo.com/954178823/050152b082,vimeo
ERP,,,,4. Change Existing,How a Contract Admin Changes a Section in Oracle Cloud,https://vimeo.com/954178973/5ecea76e96,vimeo
ERP,,,,4. Change Existing,How a Contract Admin Changes a Clause in Oracle Cloud,https://vimeo.com/954179088/5e1a589159,vimeo
ERP,,,,4. Change Existing,How a Contract Admin Changes a Constant in Oracle Cloud,https://vimeo.com/954179212/429148a9b2,vimeo
ERP,,,,4. Change Existing,How a Contract Admin Changes a Question in Oracle Cloud,https://vimeo.com/954179330/db2f3e8562,vimeo
ERP,,,,4. Change Existing,How a Contract Admin Changes a Rule in Oracle Cloud,https://vimeo.com/954179438/b030cbd7ba,vimeo
ERP,,,,4. Change Existing,How a Contract Admin Changes a Terms Template in Oracle Cloud,https://vimeo.com/954179635/e1a74c24b1,vimeo
ERP,Procurement,Advanced Procurement,How to Use the Supplier Qualification Application,1. Course Overview,Generic Course Overview,https://vimeo.com/998819287/2f184db1a1,vimeo
ERP,,,,1. Learn about,The SQM House,https://vimeo.com/996390577/2dd73bc703,vimeo
ERP,,,,2. Create new,STEP 1 - Plan the Initiative,https://vimeo.com/996397172/4aa333204a,vimeo
ERP,,,,2. Create new,STEP 2 - How to Create a Question,https://vimeo.com/996397420/1909da1416,vimeo
ERP,,,,2. Create new,STEP 3 - How to Create a Qualification Area,https://vimeo.com/998823504/d1c39fe124,vimeo
ERP,,,,2. Create new,STEP 4 - How to Create a Qualification Model,https://vimeo.com/996400972/17533cb3f4,vimeo
ERP,,,,2. Create new,STEP 5 - How to Create a Supplier Initiative,https://vimeo.com/998917904/e72d24f615,vimeo
ERP,,,,2. Create new,STEP 6 - How a Supplier Responds,https://vimeo.com/996404573/850fea8ee9,vimeo
ERP,,,,2. Create new,STEP 7 - How to Review and Accept responses,https://vimeo.com/998817733/5640476cb7,vimeo
ERP,,,,2. Create new,STEP 8 - How to Evaluate Responses,https://vimeo.com/998818792/9c556f76a4,vimeo
ERP,,,,2. Create new,How to Create an Assessment,https://vimeo.com/996389766/078cbf0e04,vimeo
ERP,,,,2. Create new,How to Create an Internal Survey,https://vimeo.com/996388968/29a566e780,vimeo
ERP,,,,2. Create new,2.11 - How to Duplicate an Initiative in Oracle Cloud,https://vimeo.com/998818611/204f4a8971,vimeo
ERP,,,,3. Find existing,How to find Qualifications on the Supplier Profile,https://vimeo.com/996388738/017c0d429d,vimeo
ERP,,,,3. Find existing,How to find Suppliers for Qualifications using the Infolet,https://vimeo.com/996386303/91d98425a6,vimeo
ERP,,,,3. Find existing,How to use the Research Supplier Function,https://vimeo.com/996388241/093fdfd6bc,vimeo
ERP,,,,4. Change existing,Cancel ongoing Initiative,https://vimeo.com/996386822/5364c91f52,vimeo
ERP,,,,2. Create New,Step 1 - How to Plan & Request a Negotiation in Oracle Cloud,https://vimeo.com/980868404/5cfbdfcff8,vimeo
ERP,,,,2. Create New,Step 2 - How to Create and Publish a Negotiation in Oracle Cloud,https://vimeo.com/980869256/122011ae34,vimeo
ERP,,,,2. Create New,Step 3 - How to Acknowledge and Preview Negotiation in Oracle Cloud,https://vimeo.com/982662387/5bbeceb477,vimeo
ERP,,,,2. Create New,Step 4 - How to Respond to a Negotiation in Oracle Cloud,https://vimeo.com/982663164/6e47e6773c,vimeo
ERP,,,,2. Create New,Step 5 - How to Monitor Responses to Negotiations in Oracle Cloud,https://vimeo.com/982664052/c914aef56b,vimeo
ERP,,,,2. Create New,Step 6 - How to Request Best and Final Offers (BAFO) in Oracle Cloud,https://vimeo.com/982665623/e29c3e02b7,vimeo
ERP,,,,2. Create New,Step 7 - How to Execute a Contract from within a Negotiation in Oracle Cloud,https://vimeo.com/982668045/bd203ec926,vimeo
ERP,,,,2. Create New,Step 8 - How to Award a Negotiation in Oracle Cloud,https://vimeo.com/982669557/1899688d1c,vimeo
ERP,,,,2. Create New,How to Create a Buyer-Managed Contract Purchase Agreement in Oracle Cloud,https://vimeo.com/982671847/8b5aa0f064,vimeo
ERP,,,,2. Create New,How to Create a Buyer-Managed Blanket Purchase Agreement in Oracle Cloud,https://vimeo.com/982670482/44944d0d3d,vimeo
ERP,,,,2. Create New,How to Create a Supplier-Managed Blanket Purchase Agreement in Oracle Cloud,https://vimeo.com/982674132/95bc9af5a4,vimeo
ERP,,,,3. Find Existing,How Buyer Finds Purchase Agreements in Oracle Cloud,https://vimeo.com/982675783/7be27f079d,vimeo
ERP,,,,3. Find Existing,How Buyer Finds Transactions for Purchase Agreements in Oracle Cloud,https://vimeo.com/982676619/8cf2cfee4c,vimeo
ERP,,,,3. Find Existing,How Supplier Finds Blanket Purchase Agreements in Oracle Cloud,https://vimeo.com/982677035/71764dd98a,vimeo
ERP,,,,4. Change Existing,How Buyer Changes Purchase Agreements in Oracle Cloud,https://vimeo.com/982677556/7eb4e6b0ad,vimeo
ERP,,,,4. Change Existing,How Supplier Changes Purchase Agreements in Oracle Cloud,https://vimeo.com/987390434/fe8e6e5d64,vimeo
ERP,,,,2. Create New,How to Create a Local Catalog in Oracle Cloud,https://vimeo.com/987391203/001a4aeb2e,vimeo
ERP,,,,2. Create New,How to Create a Remote (Punchout) Catalog in Oracle Cloud,https://vimeo.com/987391906/b234bca451,vimeo
ERP,,,,2. Create New,How to Create an Informational Item in Oracle Cloud,https://vimeo.com/987393062/f10c3b52aa,vimeo
ERP,,,,2. Create New,How to Create a SmartForm in Oracle Cloud,https://vimeo.com/987393748/ae65376607,vimeo
ERP,,,,3. Find Existing,How to Find a Local Catalog in Oracle Cloud,https://vimeo.com/987395751/817cb40238,vimeo
ERP,,,,3. Find Existing,How to Find a Remote (Punchout) Catalog in Oracle Cloud,https://vimeo.com/987396087/bc4920c808,vimeo
ERP,,,,3. Find Existing,How to Find an Informational Item in Oracle Cloud,https://vimeo.com/987396366/09c6a7f5db,vimeo
ERP,,,,3. Find Existing,How to Find a SmartForm in Oracle Cloud,https://vimeo.com/987396651/5e3187c6de,vimeo
ERP,,,,3. Find Existing,How to Find a Information Template in Oracle Cloud,https://vimeo.com/987396932/32f8549fae,vimeo
ERP,,,,3. Find Existing,How to Find a PCCH Categories in Oracle Cloud,https://vimeo.com/987397207/a484597cca,vimeo
ERP,,,,3. Find Existing,How to Find a Content Zone in Oracle Cloud,https://vimeo.com/987397424/6366b96f1f,vimeo
ERP,,,,4. Change Existing,How to Change a Local Catalog in Oracle Cloud,https://vimeo.com/987420460/1bdce9ca3b,vimeo
ERP,,,,4. Change Existing,How to Change a Remote (Punchout) Catalog in Oracle Cloud,https://vimeo.com/987420749/bb87a726b6,vimeo
